ATECO,ATECO_Desc,Natura,Fatturato,Dipendenti,Provincia,Business_Size,Revenue_Size,Industry,Total_Revenue_36M,Active_Months
N.82.92.20,Imballaggio e confezionamento di generi non alimentari,1.a Impresa,1819159,7,PO,Micro (1-10),Medium (1M-10M),Business Services,238590,34
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,82401,1,ME,Micro (1-10),Very Small (<100k),Transportation,345087,36
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,2056134,8,LE,Micro (1-10),Medium (1M-10M),Transportation,336197,36
N.82.20.00,ATTIVITÀ DEI CALL CENTER,1.a Impresa,390391,8,Unknown,Micro (1-10),Small (100k-1M),Business Services,194940,18
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,2238338,7,MI,Micro (1-10),Medium (1M-10M),Transportation,308660,36
G.47.91.30,Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza radio telefono,1.a Impresa,13588015,51,PV,Medium (51-250),Large (>10M),Wholesale/Retail,1182135,36
G.47.91.30,Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza radio telefono,1.a Impresa,13282441,71,CN,Medium (51-250),Large (>10M),Wholesale/Retail,445676,36
G.47.99.10,Commercio al dettaglio di prodotti vari mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta),1.a Impresa,6683012,22,MI,Small (11-50),Medium (1M-10M),Wholesale/Retail,150401,9
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,79425,1,NU,Micro (1-10),Very Small (<100k),Wholesale/Retail,357326,35
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,0,18,BS,Small (11-50),No revenue,Transportation,358295,36
C.20.42.00,Fabbricazione di profumi e cosmetici,1.a Impresa,9867843,38,PG,Small (11-50),Medium (1M-10M),Manufacturing,551911,36
G.47.74.00,Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati,1.a Impresa,4644766,13,LI,Small (11-50),Medium (1M-10M),Wholesale/Retail,498219,36
G.47.99.10,Commercio al dettaglio di prodotti vari mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta),1.a Impresa,8189067,12,Unknown,Small (11-50),Medium (1M-10M),Wholesale/Retail,412474,36
J.62.02.00,Consulenza nel settore delle tecnologie dell'informatica,1.a Impresa,40736709,258,RM,Large (>250),Large (>10M),Information/Technology,374668,36
G.46.19.02,Procacciatori d'affari di vari prodotti senza prevalenza di alcuno,1.b Azienda individuale,0,1,Unknown,Micro (1-10),No revenue,Wholesale/Retail,361653,33
G.46.46.30,Commercio all'ingrosso di articoli medicali ed ortopedici,1.a Impresa,27136213,16,CO,Small (11-50),Large (>10M),Wholesale/Retail,391986,36
G.47.62.20,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,1.a Impresa,2181902,14,LO,Small (11-50),Medium (1M-10M),Wholesale/Retail,409733,36
R.90.03.09,Altre creazioni artistiche e letterarie,1.a Impresa,482934,2,AN,Micro (1-10),Small (100k-1M),Other,358925,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,101941,1,Unknown,Micro (1-10),Small (100k-1M),Business Services,232457,21
G.47.73.10,Farmacie,1.a Impresa,0,25,Unknown,Small (11-50),No revenue,Wholesale/Retail,264030,36
H.49.41.00,Trasporto di merci su strada,1.a Impresa,20614979,89,MN,Medium (51-250),Large (>10M),Transportation,481086,36
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,622387,17,PR,Small (11-50),Small (100k-1M),Transportation,361079,36
C.15.20.10,Fabbricazione di calzature,1.a Impresa,522058,1,AV,Micro (1-10),Small (100k-1M),Manufacturing,233564,36
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.a Impresa,3955803,13,SA,Small (11-50),Medium (1M-10M),Business Services,481236,36
J.62.01.00,Produzione di software non connesso all'edizione,1.a Impresa,29958854,90,TR,Medium (51-250),Large (>10M),Information/Technology,396935,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,1869061,33,MI,Small (11-50),Medium (1M-10M),Wholesale/Retail,240152,19
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,27666674,60,AR,Medium (51-250),Large (>10M),Wholesale/Retail,163012,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,257358,1,MO,Micro (1-10),Small (100k-1M),Wholesale/Retail,354883,36
